molregno,chembl_id,chirality,molecule_type,canonical_smiles,alogp,molecular_species,action_type
674886,CHEMBL1200935,1,Small molecule,Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,3.96,BASE,ANTAGONIST
562404,CHEMBL551466,1,Small molecule,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],4.67,NEUTRAL,ANTAGONIST
674715,CHEMBL1200764,0,Small molecule,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],0.64,NEUTRAL,AGONIST
1927030,CHEMBL3545181,1,Small molecule,C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21.O.[Br-],2.35,NEUTRAL,ANTAGONIST
675716,CHEMBL1201765,1,Small molecule,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O,5.38,BASE,ANTAGONIST
674424,CHEMBL1200473,0,Small molecule,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1.Cl,2.18,NEUTRAL,ANTAGONIST
195974,CHEMBL1184,2,Small molecule,CC(=O)OCC[N+](C)(C)C.[Cl-],0.26,NEUTRAL,AGONIST
892,CHEMBL14,2,Small molecule,C[N+](C)(C)CCOC(N)=O.[Cl-],-0.21,NEUTRAL,AGONIST
14406,CHEMBL550,1,Small molecule,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,1.16,NEUTRAL,AGONIST
674281,CHEMBL1200330,1,Small molecule,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,1.16,NEUTRAL,AGONIST
1449190,CHEMBL2218917,0,Small molecule,CC1OC2(CS1)CN1CCC2CC1.Cl.O,1.56,BASE,AGONIST
674901,CHEMBL1200950,0,Small molecule,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-],2.7,NEUTRAL,ANTAGONIST
1406675,CHEMBL2134724,0,Small molecule,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-],2.85,NEUTRAL,ANTAGONIST
778083,CHEMBL1354199,1,Small molecule,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.[Br-],1.06,NEUTRAL,ANTAGONIST
229058,CHEMBL1231,0,Small molecule,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.34,BASE,ANTAGONIST
170395,CHEMBL1133,0,Small molecule,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,3.34,BASE,ANTAGONIST
674842,CHEMBL1200891,0,Small molecule,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,2.73,BASE,ANTAGONIST
674978,CHEMBL1201027,0,Small molecule,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],2.46,NEUTRAL,ANTAGONIST
674298,CHEMBL1200347,2,Small molecule,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-],4.11,NEUTRAL,ANTAGONIST
1594639,CHEMBL3084748,1,Small molecule,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1.[Cl-],3.77,NEUTRAL,ANTAGONIST
2197385,CHEMBL3989514,1,Small molecule,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl.O.O.O,4.09,BASE,INHIBITOR
674777,CHEMBL1200826,-1,Small molecule,O=C([O-])[O-].[Li+].[Li+],,,INHIBITOR
1376008,CHEMBL2103738,-1,Small molecule,O.O.O.O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+],,,INHIBITOR
227437,CHEMBL344159,0,Small molecule,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,5.68,NEUTRAL,ANTAGONIST
675059,CHEMBL1201108,2,Small molecule,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2.Cl,6.51,NEUTRAL,ANTAGONIST
293438,CHEMBL175247,1,Small molecule,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,6.88,NEUTRAL,INHIBITOR
21523,CHEMBL603,2,Small molecule,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,5.7,ACID,ANTAGONIST
674632,CHEMBL1200681,1,Small molecule,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],8.95,ACID,ANTAGONIST
1038352,CHEMBL1615369,2,Small molecule,CCCCCCOC(=O)/N=C(\N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1.CS(=O)(=O)O,5.6,NEUTRAL,INHIBITOR
188815,CHEMBL1166,0,Small molecule,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,0.91,ZWITTERION,INHIBITOR
73547,CHEMBL877,1,Small molecule,NC[C@H]1CC[C@H](C(=O)O)CC1,0.84,ZWITTERION,INHIBITOR
127755,CHEMBL1046,2,Small molecule,NCCCCCC(=O)O,0.59,ZWITTERION,INHIBITOR
366278,CHEMBL220491,1,Small molecule,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.09,NEUTRAL,INHIBITOR
675113,CHEMBL1201162,1,Small molecule,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,0.61,NEUTRAL,INHIBITOR
1085,CHEMBL17,2,Small molecule,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0.29,NEUTRAL,INHIBITOR
1124,CHEMBL19,2,Small molecule,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,-1.42,NEUTRAL,INHIBITOR
366279,CHEMBL220492,1,Small molecule,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,-0.4,NEUTRAL,INHIBITOR
1125,CHEMBL20,2,Small molecule,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.86,NEUTRAL,INHIBITOR
674765,CHEMBL1200814,2,Small molecule,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],-0.86,NEUTRAL,INHIBITOR
674954,CHEMBL1201003,1,Small molecule,Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,3.82,NEUTRAL,AGONIST
674472,CHEMBL1200521,2,Small molecule,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O,2.2,BASE,AGONIST
674596,CHEMBL1200645,1,Small molecule,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,1.1,ACID,INHIBITOR
674426,CHEMBL1200475,1,Small molecule,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.O=C(O)CC(O)(CC(=O)O)C(=O)O,1.03,BASE,INHIBITOR
446279,CHEMBL1563,1,Small molecule,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,1.03,BASE,INHIBITOR
462435,CHEMBL359744,1,Small molecule,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,0,BASE,INHIBITOR
840903,CHEMBL1417019,2,Small molecule,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,-0.14,BASE,INHIBITOR
624185,CHEMBL1096885,1,Small molecule,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,2.46,NEUTRAL,INHIBITOR
674927,CHEMBL1200976,1,Small molecule,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,1.02,BASE,INHIBITOR
674962,CHEMBL1201011,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O.Cl,2.57,ACID,INHIBITOR
421317,CHEMBL1519,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,2.77,ACID,INHIBITOR
674485,CHEMBL1200534,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O.Cl,2.58,ACID,INHIBITOR
2197277,CHEMBL3989406,1,Small molecule,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,1.13,ACID,INHIBITOR
189203,CHEMBL1168,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,2.38,ACID,INHIBITOR
1592407,CHEMBL3039596,1,Small molecule,CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)[O-])C(C)C.[Na+],6.12,ACID,INHIBITOR
544432,CHEMBL1694,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,2.57,ACID,INHIBITOR
444750,CHEMBL1560,1,Small molecule,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.63,ACID,INHIBITOR
674294,CHEMBL1200343,1,Small molecule,CC(C)(C)N.CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,1.94,ACID,INHIBITOR
189204,CHEMBL419213,1,Small molecule,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O,1.24,ZWITTERION,INHIBITOR
674610,CHEMBL1200659,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O,1.6,ACID,INHIBITOR
674782,CHEMBL1200831,1,Small molecule,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2.Cl,2.39,ACID,INHIBITOR
8130,CHEMBL495,1,Small molecule,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,3.48,ACID,AGONIST
11305,CHEMBL98,2,Small molecule,O=C(CCCCCCC(=O)Nc1ccccc1)NO,2.47,NEUTRAL,INHIBITOR
293438,CHEMBL175247,1,Small molecule,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,6.88,NEUTRAL,INHIBITOR
485738,CHEMBL1643,1,Small molecule,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,-3.01,NEUTRAL,INHIBITOR
675130,CHEMBL1201179,2,Small molecule,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,6.14,NEUTRAL,INHIBITOR
2197756,CHEMBL3989885,0,Small molecule,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21.CC(CN(C)C)CN1c2ccccc2Sc2ccccc21.O=C(O)C(O)C(O)C(=O)O,4.49,BASE,ANTAGONIST
674442,CHEMBL1200491,0,Small molecule,Cl.NC1=NCC2c3ccccc3Cc3ccccc3N12,2.47,BASE,ANTAGONIST
674448,CHEMBL1200497,2,Small molecule,CC(O)C(=O)O.CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3.02,NEUTRAL,ANTAGONIST
674569,CHEMBL1200618,0,Small molecule,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,5.51,ZWITTERION,ANTAGONIST
550917,CHEMBL1716,2,Small molecule,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl,4.7,NEUTRAL,ANTAGONIST
1926757,CHEMBL3544908,2,Small molecule,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,3.71,NEUTRAL,ANTAGONIST
674589,CHEMBL1200638,1,Small molecule,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,3.93,BASE,ANTAGONIST
674701,CHEMBL1200750,0,Small molecule,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,4.24,BASE,ANTAGONIST
674760,CHEMBL1200809,0,Small molecule,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,4.3,BASE,ANTAGONIST
674912,CHEMBL1200961,0,Small molecule,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,3.93,BASE,ANTAGONIST
674957,CHEMBL1201006,2,Small molecule,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1.O=C(O)/C=C\C(=O)O,2.66,BASE,ANTAGONIST
1031157,CHEMBL1607273,0,Small molecule,Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.15,ACID,ANTAGONIST
551224,CHEMBL1719,2,Small molecule,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21.Cl,3.59,ZWITTERION,ANTAGONIST
674483,CHEMBL1200532,0,Small molecule,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1.Cl,4.24,BASE,ANTAGONIST
674878,CHEMBL1200927,1,Small molecule,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,3.82,BASE,ANTAGONIST
110803,CHEMBL998,2,Small molecule,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.89,NEUTRAL,ANTAGONIST
496910,CHEMBL1659,0,Small molecule,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,3.82,BASE,ANTAGONIST
674746,CHEMBL1200795,1,Small molecule,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,5.1,BASE,ANTAGONIST
699453,CHEMBL1237102,1,Small molecule,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1.Cl,4.89,ZWITTERION,ANTAGONIST
674918,CHEMBL1200967,0,Small molecule,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1.Cl,4.12,BASE,ANTAGONIST
675019,CHEMBL1201068,0,Small molecule,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2.Cl,4.83,NEUTRAL,ANTAGONIST
2197426,CHEMBL3989555,0,Small molecule,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1.Cl.Cl.O,5.56,NEUTRAL,ANTAGONIST
2197391,CHEMBL3989520,2,Small molecule,NCCc1c[nH]cn1.O=P(O)(O)O.O=P(O)(O)O,-0.09,BASE,AGONIST
674925,CHEMBL1200974,0,Small molecule,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,3.4,BASE,ANTAGONIST
675698,CHEMBL1201747,2,Small molecule,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,2.78,NEUTRAL,ANTAGONIST
226880,CHEMBL1224,2,Small molecule,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,4.02,ZWITTERION,ANTAGONIST
1677325,CHEMBL3188034,2,Small molecule,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1.Cl.O,3.92,BASE,ANTAGONIST
674720,CHEMBL1200769,2,Small molecule,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2.65,BASE,ANTAGONIST
1676284,CHEMBL3186993,0,Small molecule,Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.06,NEUTRAL,ANTAGONIST
191342,CHEMBL1172,2,Small molecule,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,4.02,BASE,ANTAGONIST
468199,CHEMBL1620,2,Small molecule,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,3.35,BASE,ANTAGONIST
490981,CHEMBL1653,0,Small molecule,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O,3.17,BASE,ANTAGONIST
674343,CHEMBL1200392,0,Small molecule,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O,2.92,BASE,ANTAGONIST
674397,CHEMBL1200446,2,Small molecule,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,2.65,BASE,ANTAGONIST
674501,CHEMBL1200550,2,Small molecule,O=P(O)(O)O.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,2.69,BASE,ANTAGONIST
675141,CHEMBL1201190,1,Small molecule,Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,3.15,ACID,ANTAGONIST
675710,CHEMBL1201759,1,Small molecule,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1.O=S(=O)(O)c1ccccc1,4.17,ZWITTERION,ANTAGONIST
447448,CHEMBL1564,2,Small molecule,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,3.89,BASE,ANTAGONIST
479129,CHEMBL1633,2,Small molecule,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,4.01,NEUTRAL,ANTAGONIST
1537769,CHEMBL2360580,0,Small molecule,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1.Cl.Cl,6.54,NEUTRAL,ANTAGONIST
674357,CHEMBL1200406,-1,Small molecule,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,,,ANTAGONIST
1376009,CHEMBL2103739,2,Small molecule,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,2.21,BASE,ANTAGONIST
674910,CHEMBL1200959,0,Small molecule,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,4.24,BASE,ANTAGONIST
675040,CHEMBL1201089,2,Small molecule,CN(C)CCOC(c1ccccc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,3.35,BASE,ANTAGONIST
674974,CHEMBL1201023,0,Small molecule,Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl,3.66,BASE,ANTAGONIST
674346,CHEMBL1200395,0,Small molecule,Cc1ccccc1C(OCCN(C)C)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,3.66,BASE,ANTAGONIST
524710,CHEMBL1689,2,Small molecule,Cl.c1ccc(CC2=NCCN2)cc1,1.23,BASE,AGONIST
674899,CHEMBL1200948,0,Small molecule,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,4.12,BASE,ANTAGONIST
44920,CHEMBL779,1,Small molecule,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,2.21,NEUTRAL,INHIBITOR
283529,CHEMBL1339,2,Small molecule,CCCc1nc(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12.Cl,2.07,NEUTRAL,INHIBITOR
564291,CHEMBL1737,2,Small molecule,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,1.61,NEUTRAL,INHIBITOR
1285392,CHEMBL1963681,1,Small molecule,COc1ccc(C/N=c2\[nH]c(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,1.85,BASE,INHIBITOR
11305,CHEMBL98,2,Small molecule,O=C(CCCCCCC(=O)Nc1ccccc1)NO,2.47,NEUTRAL,INHIBITOR
1536859,CHEMBL2359670,2,Small molecule,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)CC(O)C(=O)O.O=C(O)CC(O)C(=O)O,5.04,NEUTRAL,ANTAGONIST
2197349,CHEMBL3989478,2,Small molecule,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,5.04,NEUTRAL,ANTAGONIST
674902,CHEMBL1200951,2,Small molecule,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,6.83,NEUTRAL,ANTAGONIST
16505,CHEMBL567,2,Small molecule,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.94,NEUTRAL,ANTAGONIST
674658,CHEMBL1200707,0,Small molecule,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O.Cl,2.42,NEUTRAL,MODULATOR
37266,CHEMBL728,2,Small molecule,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.58,NEUTRAL,ANTAGONIST
872071,CHEMBL1448187,2,Small molecule,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.31,NEUTRAL,ANTAGONIST
675038,CHEMBL1201087,1,Small molecule,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,3.19,BASE,AGONIST
738635,CHEMBL1314751,2,Small molecule,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,4.58,NEUTRAL,ANTAGONIST
674805,CHEMBL1200854,2,Small molecule,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8,NEUTRAL,ANTAGONIST
1537268,CHEMBL2360079,2,Small molecule,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,3.49,NEUTRAL,ANTAGONIST
